PassengerId,HomePlanet,CryoSleep,Cabin,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Name,Gender,Transported
0001_01,Europa,False,B/0/P,TRAPPIST-1e,39,False,0,0,0,0,0,Maham Ofracculy,M,False
0002_01,Earth,False,F/0/S,TRAPPIST-1e,24,False,109,9,25,549,44,Juanna Vines,F,True
0003_01,Europa,False,A/0/S,TRAPPIST-1e,58,True,43,3576,0,6715,49,Altark Susent,M,False
0003_02,Europa,False,A/0/S,TRAPPIST-1e,33,False,0,1283,371,3329,193,Solam Susent,F,False
0004_01,Earth,False,F/1/S,TRAPPIST-1e,16,False,303,70,151,565,2,Willy Santantines,M,True
0005_01,Earth,False,F/0/P,PSO J318.5-22,44,False,0,483,0,291,0,Sandie Hinetthews,F,True
0006_01,Earth,False,F/2/S,TRAPPIST-1e,26,False,42,1539,3,0,0,Billex Jacostaffey,M,True
0006_02,Earth,True,G/0/S,TRAPPIST-1e,28,False,0,0,0,0,,Candra Jacostaffey,F,True
0007_01,Earth,False,F/3/S,TRAPPIST-1e,35,False,0,785,17,216,0,Andona Beston,M,True
0008_01,Europa,True,B/1/P,55 Cancri e,14,False,0,0,0,0,0,Erraiam Flatic,F,True
0008_02,Europa,True,B/1/P,TRAPPIST-1e,34,False,0,0,,0,0,Altardr Flatic,M,True
0008_03,Europa,False,B/1/P,55 Cancri e,45,False,39,7295,589,110,124,Wezena Flatic,F,True
0009_01,Mars,False,F/1/P,TRAPPIST-1e,32,False,73,0,1123,0,113,Berers Barne,M,True
0010_01,Earth,False,G/1/S,TRAPPIST-1e,48,False,719,1,65,0,24,Reney Baketton,F,False
0011_01,Earth,False,F/2/P,TRAPPIST-1e,28,False,8,974,12,2,7,Elle Bertsontry,M,True
0012_01,Earth,False,,TRAPPIST-1e,31,False,32,0,876,0,0,Justie Pooles,F,False
0014_01,Mars,False,F/3/P,55 Cancri e,27,False,1286,122,,0,0,Flats Eccle,M,False
0015_01,Earth,False,F/4/P,55 Cancri e,24,False,0,1,0,0,637,Carry Hughriend,F,False
0016_01,Mars,True,F/5/P,TRAPPIST-1e,45,False,0,0,0,0,0,Alus Upead,M,True
0017_01,Earth,False,G/0/P,TRAPPIST-1e,0,False,0,0,0,0,0,Lyde Brighttt,F,True
0017_02,Earth,False,F/6/P,55 Cancri e,14,False,412,0,1,0,679,Philda Brighttt,M,False
0020_01,Earth,True,E/0/S,TRAPPIST-1e,1,False,0,0,0,0,0,Almary Brantuarez,F,False
0020_02,Earth,True,E/0/S,55 Cancri e,49,False,0,0,0,0,0,Glendy Brantuarez,M,False
0020_03,Earth,True,E/0/S,55 Cancri e,29,False,0,0,,0,0,Mollen Mcfaddennon,F,False
0020_04,Earth,False,E/0/S,TRAPPIST-1e,10,False,0,0,0,0,0,Breney Jacostanley,M,True
0020_05,Earth,True,E/0/S,PSO J318.5-22,1,False,,0,0,0,0,Mael Brantuarez,F,False
0020_06,Earth,False,E/0/S,TRAPPIST-1e,7,False,0,0,0,0,0,Terta Mcfaddennon,M,False
0022_01,Mars,False,D/0/P,TRAPPIST-1e,21,False,980,2,69,0,0,,,False
0024_01,Europa,True,C/2/S,TRAPPIST-1e,62,False,0,0,,0,0,Penton Fullided,M,True
0025_01,Earth,False,F/6/S,TRAPPIST-1e,15,False,0,225,0,998,0,Karard Brookenson,F,False
0026_01,Europa,False,C/0/P,55 Cancri e,34,False,22,6073,0,1438,328,Anyoni Unconary,M,False
0028_01,Mars,False,F/8/P,TRAPPIST-1e,43,False,1125,0,136,48,0,Ceros Mare,F,False
0030_01,Earth,False,G/4/S,TRAPPIST-1e,32,False,0,850,81,437,453,Ginia Morsentley,M,False
